,Organization,EIN,Tax Year,Contributions and Grants,Program service revenue,Investment Income,Total Revenue,"Compensation of current officers, directors, etc",Payroll Tax,Professional fundraising fees,Total Functional Expenses,Total Assets,Total Liabilities
204,Autism Society Of Pittsburgh Inc.,237350636,2020,295126.0,89000.0,249.0,404210,146152.0,23250.0,0.0,428842,368942,16236
205,Autism Society Of Pittsburgh Inc.,237350636,2019,380486.0,162200.0,136.0,560465,149998.0,30861.0,0.0,675566,396168,18830
206,Womanspace East Inc.,251314836,2021,854516.0,0.0,0.0,854516,86718.0,24889.0,0.0,702681,1007503,592697
207,Womanspace East Inc.,251314836,2020,911852.0,0.0,8.0,911860,82131.0,23852.0,0.0,655412,708852,445881
208,Womanspace East Inc.,251314836,2019,633252.0,0.0,3.0,633255,94404.0,24384.0,0.0,634104,438364,431967
209,Center For Victims,251307309,2021,7465993.0,12675.0,1709.0,7580631,537745.0,310704.0,0.0,7261856,2521265,480179
210,Center For Victims,251307309,2020,6774825.0,37699.0,4994.0,6916510,489450.0,282153.0,0.0,7268098,3395648,1678789
211,Center For Victims,251307309,2019,5499552.0,14597.0,6552.0,5708416,468246.0,249243.0,0.0,5989426,2731264,660826
212,Veterans Leadership Program Of Western Pennsylvania,251434643,2021,7378330.0,6338.0,32998.0,7560705,110141.0,250548.0,0.0,7129438,2368240,271992
213,Veterans Leadership Program Of Western Pennsylvania,251434643,2020,5525190.0,13325.0,19006.0,5642196,113360.0,204367.0,0.0,5329710,1834230,188928
214,Veterans Leadership Program Of Western Pennsylvania,251434643,2019,4238779.0,24951.0,20649.0,4437281,95823.0,164784.0,0.0,4418829,1433344,139781
215,Hilltop Community Children's Center,251762145,2021,286192.0,828331.0,370.0,1114893,41177.0,62132.0,0.0,1035396,660459,50368
216,Hilltop Community Children's Center,251762145,2020,66645.0,924688.0,806.0,992139,67693.0,55167.0,0.0,919773,698765,168171
217,Hilltop Community Children's Center,251762145,2019,2938.0,998352.0,1208.0,1002498,62279.0,55011.0,0.0,928955,486004,27776
218,East End Cooperative Ministry Inc.,231722988,2021,5747168.0,40861.0,127.0,6001863,225683.0,104529.0,0.0,5089891,12798337,1818456
219,East End Cooperative Ministry Inc.,231722988,2020,4252931.0,39273.0,394.0,4467957,269649.0,124143.0,0.0,4945996,12806952,2786109
220,East End Cooperative Ministry Inc.,231722988,2019,4681250.0,50741.0,132.0,9662748,215241.0,118321.0,0.0,4826973,14106153,3183133
221,Allegheny Healthchoices Inc.,251753032,2021,0.0,8485544.0,3788.0,8489332,664238.0,191844.0,0.0,8272327,22380125,19536460
222,Allegheny Healthchoices Inc.,251753032,2020,0.0,8984357.0,19443.0,9003800,693220.0,185772.0,0.0,8857883,8381688,5749646
223,Allegheny Healthchoices Inc.,251753032,2019,0.0,8900476.0,61244.0,8961720,639226.0,183989.0,0.0,8753529,10692907,8244402
224,Pittsburgh Opera,251073139,2021,5248897.0,128142.0,441760.0,6188639,409025.0,147012.0,0.0,4383041,30661047,1208578
225,Pittsburgh Opera,251073139,2020,7046091.0,796478.0,569832.0,7929497,427731.0,257194.0,24926.0,6418496,25367502,1620494
226,Pittsburgh Opera,251073139,2019,4557502.0,1649338.0,707775.0,7109290,418370.0,280675.0,127172.0,7336667,24563935,2515278
227,United Way Of Southwestern Pennsylvania,251043578,2021,47689680.0,3679094.0,762586.0,53624606,751879.0,363843.0,0.0,41987504,76936352,20857054
228,United Way Of Southwestern Pennsylvania,251043578,2020,40466179.0,2999856.0,692731.0,44115100,455831.0,407585.0,0.0,38843606,60269380,24390068
229,United Way Of Southwestern Pennsylvania,251043578,2019,35851320.0,2662918.0,754358.0,41788306,595859.0,388216.0,0.0,39871041,54240024,22203356
230,Southwestern Pennsylvania Partnership For Aging,251643564,2021,328038.0,18430.0,43.0,346511,0.0,0.0,0.0,383267,354584,4481
231,Southwestern Pennsylvania Partnership For Aging,251643564,2020,330786.0,15185.0,37.0,346008,0.0,0.0,0.0,140498,399079,12220
232,Southwestern Pennsylvania Partnership For Aging,251643564,2019,39166.0,44616.0,24.0,83806,0.0,0.0,0.0,183326,181349,0
233,Easter Seals Western And Central Pennsylvania,250965215,2021,4296194.0,5243770.0,201611.0,9761847,243650.0,659421.0,0.0,9228750,11456066,3679140
234,Easter Seals Western And Central Pennsylvania,250965215,2020,3504618.0,5374144.0,216900.0,9095979,234395.0,537754.0,0.0,9081030,10087409,4308493
235,Easter Seals Western And Central Pennsylvania,250965215,2019,643327.0,9092295.0,162555.0,9878111,224648.0,521857.0,0.0,9210094,8793060,3180839
236,Lifespan Inc.,237319621,2021,4411830.0,61142.0,286038.0,4616449,175412.0,197062.0,0.0,4499928,3181697,941952
237,Lifespan Inc.,237319621,2020,4239502.0,162835.0,1649.0,4431163,172966.0,188301.0,0.0,4583789,3036892,1179226
238,Lifespan Inc.,237319621,2019,3836421.0,189229.0,274.0,4059791,171985.0,157893.0,0.0,4146607,2981426,1217769
239,Adoption Connection. Pa,262114941,2021,39727.0,2302303.0,3410.0,2346082,68807.0,61520.0,0.0,2076843,2468328,331286
240,Adoption Connection. Pa,262114941,2020,188696.0,1572639.0,8058.0,1770892,69303.0,57059.0,0.0,1492570,2055995,188192
241,Adoption Connection. Pa,262114941,2019,1432739.0,65729.0,9089.0,1554305,63125.0,50396.0,0.0,1469478,1764474,174993
242,Mainstay Life Services,251215557,2021,4624201.0,23251213.0,178084.0,28130633,530165.0,1089248.0,0.0,22686540,22073883,4462926
243,Mainstay Life Services,251215557,2020,1046784.0,20991362.0,126857.0,22219530,2339211.0,1007799.0,0.0,20126427,19077264,7714905
244,Mainstay Life Services,251215557,2019,799057.0,20040986.0,122490.0,21137637,2420855.0,887228.0,0.0,19106152,13928067,4566177
245,Achieva,251505216,2021,1114788.0,0.0,425528.0,1853128,0.0,9987.0,0.0,1780582,49095357,360725
246,Achieva,251505216,2020,1411985.0,0.0,598937.0,2535846,0.0,9645.0,0.0,1442623,42988959,2206756
247,Achieva,251505216,2019,1802383.0,0.0,569000.0,2704048,0.0,10377.0,0.0,1352333,35224440,162517
248,Rankin Christian Center,200114753,2021,549621.0,2990047.0,20173.0,3610265,109576.0,135716.0,0.0,3156317,4897438,888133
249,Rankin Christian Center,200114753,2020,632601.0,2905769.0,40328.0,3576565,110074.0,137405.0,0.0,3165115,4092706,565648
250,Rankin Christian Center,200114753,2019,472170.0,3073649.0,45197.0,3631959,110469.0,134244.0,0.0,3160250,3667917,555365
251,Community Living And Support Services Inc.,250987252,2021,8884997.0,544187.0,123949.0,9605245,236536.0,802254.0,0.0,10193809,14676332,5368969
252,Community Living And Support Services Inc.,250987252,2020,9423189.0,974513.0,113229.0,10575358,235736.0,884415.0,0.0,10776730,14170450,5223836
253,Community Living And Support Services Inc.,250987252,2019,9891031.0,1257640.0,120373.0,11331973,286528.0,888335.0,0.0,11521923,12998206,3863848
254,Family Resources,250728060,2021,5956408.0,799498.0,89344.0,6845250,307420.0,243195.0,25561.0,6636201,16029218,1354131
255,Family Resources,250728060,2020,5009309.0,850840.0,44410.0,7221454,244193.0,313844.0,14262.0,8735181,13180619,1140013
256,Family Resources,250728060,2019,6187053.0,1154671.0,45691.0,7457999,166144.0,330194.0,0.0,7486666,14122617,391410
257,Arsenal Family And Children's Center,251389965,2021,407634.0,152555.0,24088.0,607376,81370.0,26879.0,0.0,526053,1114390,81149
258,Arsenal Family And Children's Center,251389965,2020,307277.0,198595.0,51678.0,568786,79780.0,26677.0,0.0,528806,833208,80216
259,Arsenal Family And Children's Center,251389965,2019,302753.0,231706.0,77547.0,632548,73721.0,27400.0,0.0,564987,815066,5588
260,Three Rivers Adoption Council Inc.,251383638,2021,97632.0,3251671.0,2139.0,3351442,130645.0,120556.0,0.0,3254389,2802890,471137
261,Three Rivers Adoption Council Inc.,251383638,2020,114159.0,2754687.0,3077.0,3178583,134130.0,108653.0,0.0,2936910,2679579,444879
262,Three Rivers Adoption Council Inc.,251383638,2019,108413.0,2474118.0,5069.0,2618000,121763.0,100547.0,0.0,2610549,2431434,438407
263,Kidsvoice Pennsylvania Inc.,264196997,2021,162428.0,6400700.0,35037.0,6599088,330593.0,272456.0,0.0,5498042,7340747,1437874
264,Kidsvoice Pennsylvania Inc.,264196997,2020,145000.0,5333800.0,56242.0,5625206,166196.0,268241.0,0.0,5537914,5273039,1344992
265,Kidsvoice Pennsylvania Inc.,264196997,2019,76000.0,4225000.0,65658.0,4367663,164927.0,242422.0,0.0,5226048,3580432,456155
266,Small Seeds Development Inc.,251834826,2021,500903.0,0.0,0.0,500903,65000.0,22214.0,0.0,446539,82032,103143
267,Small Seeds Development Inc.,251834826,2020,484231.0,0.0,0.0,484231,0.0,26709.0,0.0,443700,131898,207373
268,Small Seeds Development Inc.,251834826,2019,729180.0,0.0,0.0,737940,89333.0,47092.0,0.0,911755,43977,159983
269,Milestone Centers Inc,251213006,2021,6036181.0,13256582.0,35323.0,19762853,758868.0,806289.0,0.0,21406337,12037490,5090795
270,Milestone Centers Inc,251213006,2020,6420134.0,15209273.0,37181.0,22114959,573031.0,845679.0,0.0,22117944,10820563,3817060
271,Milestone Centers Inc,251213006,2019,5277642.0,18237161.0,30626.0,24101094,534562.0,965351.0,0.0,23809322,10578174,3570480
272,Young Women's Christian Association Of Greater Pittsburgh,250965639,2021,22573314.0,1200931.0,1305517.0,26692326,0.0,175292.0,0.0,5731425,74057775,729223
273,Young Women's Christian Association Of Greater Pittsburgh,250965639,2020,1986323.0,1026163.0,1099403.0,3334378,350510.0,206794.0,0.0,5602244,46579908,556569
274,Young Women's Christian Association Of Greater Pittsburgh,250965639,2019,70021713.0,337745.0,1197727.0,74520904,410068.0,397984.0,0.0,71855983,56916413,8744976
275,Gateway Rehabilitation Center,251204418,2021,834452.0,25506047.0,952510.0,27374733,1286421.0,1033193.0,0.0,27558045,25222218,10522166
276,Gateway Rehabilitation Center,251204418,2020,3894734.0,26810725.0,83153.0,30919379,699996.0,1088387.0,0.0,29039202,25597444,10849519
277,Gateway Rehabilitation Center,251204418,2019,876868.0,27290599.0,261896.0,28577055,700272.0,1192162.0,0.0,32073918,25607124,12650588
278,Mercy Life Center Corporation,251604115,2021,4281395.0,98668015.0,6217478.0,111350814,0.0,3423805.0,0.0,100910119,112504753,46070148
279,Mercy Life Center Corporation,251604115,2020,3968332.0,92311473.0,1915312.0,99636699,0.0,3532200.0,0.0,100523179,99748068,44715016
280,Mercy Life Center Corporation,251604115,2019,2331233.0,95038932.0,28507.0,97882594,776714.0,3447888.0,0.0,96151027,76512355,20446539
281,Allegheny Valley Association Of Churches Inc.,251234556,2021,1109489.0,29143.0,16736.0,1156146,0.0,23432.0,0.0,832966,991662,10181
282,Allegheny Valley Association Of Churches Inc.,251234556,2020,790594.0,40473.0,5230.0,839143,44231.0,22026.0,0.0,818724,728117,70302
283,Allegheny Valley Association Of Churches Inc.,251234556,2019,771819.0,52107.0,4361.0,828731,45874.0,21944.0,0.0,842240,613986,561
284,Sojourner House Inc.,251737004,2021,104102.0,1783470.0,10896.0,1897997,149343.0,71161.0,0.0,1602322,2084859,569887
285,Sojourner House Inc.,251737004,2020,168716.0,1515757.0,37.0,1682783,123234.0,79415.0,0.0,1516041,1701112,580511
286,Sojourner House Inc.,251737004,2019,134089.0,1253074.0,69.0,1383899,102398.0,83615.0,0.0,1482600,1221746,268954
287,Persad Center Inc.,251234680,2021,872813.0,1628670.0,61.0,2469396,93409.0,150673.0,0.0,2435876,727046,498524
288,Persad Center Inc.,251234680,2020,503218.0,1502148.0,101.0,1997325,48042.0,117659.0,0.0,2267076,605225,410223
289,Persad Center Inc.,251234680,2019,246894.0,1513409.0,186.0,1920395,0.0,132712.0,0.0,2434671,708038,534428
290,Pennsylvania Organization For Women In Early Recovery,251643651,2021,2013330.0,4098719.0,248673.0,6389659,398735.0,255301.0,0.0,5478290,7372770,485150
291,Pennsylvania Organization For Women In Early Recovery,251643651,2020,1403602.0,3909318.0,148724.0,5492132,410667.0,258203.0,0.0,5435341,5931074,646282
292,Pennsylvania Organization For Women In Early Recovery,251643651,2019,712790.0,3535931.0,191235.0,4452970,363302.0,229405.0,0.0,4869339,5790240,387686
293,Youth Enrichment Services Inc.,251737929,2021,1148010.0,0.0,26348.0,1179378,77662.0,84564.0,0.0,966591,534243,197351
294,Youth Enrichment Services Inc.,251737929,2020,831202.0,0.0,20513.0,851715,68240.0,53159.0,0.0,913966,456136,332031
295,Youth Enrichment Services Inc.,251737929,2019,851834.0,2035.0,10327.0,864196,0.0,91889.0,0.0,832861,284255,97899
296,Passavant Memorial Homes Inc.,251021794,2021,45694.0,79406342.0,11862.0,81360787,0.0,3464739.0,0.0,82036090,39485382,12541074
297,Passavant Memorial Homes Inc.,251021794,2020,55386.0,85023314.0,36251.0,85657842,0.0,3396469.0,0.0,80405843,42243908,14775327
298,Passavant Memorial Homes Inc.,251021794,2019,43042.0,85669711.0,82911.0,87000118,0.0,3473850.0,0.0,83605391,35521616,13175830
299,Step By Step Inc.,232053563,2021,60004.0,76654085.0,25536.0,77394755,895425.0,3302506.0,0.0,75931309,34766610,13528432
300,Step By Step Inc.,232053563,2020,26153.0,76654089.0,122003.0,77102183,603070.0,3227192.0,0.0,74771583,35199527,15684260
301,Step By Step Inc.,232053563,2019,4525.0,73401290.0,47965.0,73765793,593659.0,3073467.0,2000.0,71733189,30517179,13455030
302,Touching Families Inc.,251881058,2021,858645.0,0.0,0.0,858645,103777.0,39731.0,0.0,776622,586588,30431
303,Touching Families Inc.,251881058,2020,849442.0,0.0,0.0,850165,102763.0,44266.0,0.0,845192,497695,23561
304,Touching Families Inc.,251881058,2019,865692.0,0.0,0.0,866301,98895.0,50638.0,0.0,888070,482726,13565
305,Residential Resources Inc.,232502873,2021,192600.0,5221624.0,11773.0,5452352,152213.0,60898.0,0.0,4816568,24762468,10662672
306,Residential Resources Inc.,232502873,2020,0.0,5087235.0,69965.0,5401491,154180.0,63110.0,0.0,4622162,26222096,13191078
307,Residential Resources Inc.,232502873,2019,20000.0,5247923.0,88333.0,5519108,151233.0,63269.0,0.0,5108142,30362112,17616254
308,Macedonia Family And Community Enrichment Center Inc.,251778222,2021,2210621.0,330603.0,907.0,2589566,175641.0,121020.0,0.0,2790602,1638072,116817
309,Macedonia Family And Community Enrichment Center Inc.,251778222,2020,2901657.0,248684.0,3385.0,3205997,197450.0,115054.0,0.0,2482171,1821652,99361
310,Macedonia Family And Community Enrichment Center Inc.,251778222,2019,1824386.0,0.0,2813.0,1864251,206062.0,74693.0,0.0,1475190,1062381,83916
311,Tadiso Inc.,237254904,2021,2125691.0,9818000.0,97484.0,12041175,241020.0,0.0,0.0,9088682,9306563,1375877
312,Tadiso Inc.,237254904,2020,244976.0,8827827.0,2743.0,9076046,234000.0,0.0,0.0,7943802,6553741,1828708
313,Tadiso Inc.,237254904,2019,1968401.0,6005664.0,2033.0,7995129,218000.0,0.0,0.0,7503047,4516963,924174
314,Youthplaces,432068912,2021,1746934.0,0.0,0.0,1753204,139515.0,88500.0,0.0,1636786,513219,274955
315,Youthplaces,432068912,2020,1679052.0,0.0,0.0,1695621,132926.0,86127.0,0.0,1549444,649718,527872
316,Youthplaces,432068912,2019,1585230.0,0.0,0.0,1594185,129791.0,102634.0,0.0,1716487,565988,590319
317,Riverview Community Action Corporation,251180251,2021,245920.0,27046.0,1.0,272967,56631.0,11174.0,0.0,252249,399615,77227
318,Riverview Community Action Corporation,251180251,2020,244517.0,35312.0,0.0,279829,59717.0,11945.0,0.0,278470,384663,82993
319,Riverview Community Action Corporation,251180251,2019,280171.0,40816.0,0.0,320987,53124.0,11302.0,0.0,280617,405103,104792
320,Woods Services Inc.,231322002,2021,2656264.0,129007315.0,71036.0,134599631,5316556.0,10751786.0,0.0,128379675,90653403,53118439
321,Woods Services Inc.,231322002,2020,2645998.0,134239951.0,174076.0,139090671,5756884.0,9788112.0,0.0,134445382,91322268,86518553
322,Woods Services Inc.,231322002,2019,1066185.0,128669205.0,240402.0,131963843,3666079.0,8712447.0,0.0,136705054,89152848,66800547
323,Residential Care Services Inc.,251444331,2021,4916574.0,560256.0,575.0,5477405,118740.0,238719.0,0.0,5450252,3165700,941076
324,Residential Care Services Inc.,251444331,2020,4669457.0,582788.0,11224.0,5263469,106621.0,218925.0,0.0,5251427,3452697,1255226
325,Residential Care Services Inc.,251444331,2019,4472949.0,548931.0,15426.0,5037306,91540.0,221059.0,0.0,5020348,2748197,562768
326,Youth Advocate Program Inc,231977514,2021,5749180.0,68987364.0,87541.0,75184938,863975.0,5229752.0,0.0,72594169,37781984,19535824
327,Youth Advocate Program Inc,231977514,2020,4381942.0,73999905.0,109716.0,78689708,828654.0,4516114.0,0.0,77521247,30351194,15271988
328,Youth Advocate Program Inc,231977514,2019,4384767.0,72548122.0,138331.0,77063794,1250755.0,4328774.0,0.0,74020156,25791641,11813137
329,Ursuline Support Services,251401610,2021,1587752.0,272664.0,3.0,1864394,174802.0,85724.0,0.0,1779212,772081,243877
330,Ursuline Support Services,251401610,2020,1561639.0,309393.0,4.0,1874757,157197.0,74414.0,0.0,1587410,770947,327925
331,Ursuline Support Services,251401610,2019,1232200.0,366575.0,4.0,1609493,154755.0,69878.0,0.0,1525861,453197,297522
332,Keystone Service Systems,231915567,2021,22666810.0,137591506.0,20900.0,160483105,0.0,6482707.0,0.0,154488094,77147483,35660673
333,Keystone Service Systems,231915567,2020,19753077.0,138296084.0,12977.0,158547971,0.0,6254061.0,0.0,150390403,72429859,37114304
334,Keystone Service Systems,231915567,2019,14828187.0,133751356.0,13873.0,148770158,0.0,5785890.0,0.0,144237972,64572730,37437367
335,Peer Support & Advocacy Network,753065438,2021,1051068.0,779708.0,263.0,1831302,113583.0,72788.0,0.0,1740816,953856,190696
336,Peer Support & Advocacy Network,753065438,2020,1064688.0,787367.0,846.0,1852901,112068.0,77633.0,0.0,1870095,847323,174649
337,Peer Support & Advocacy Network,753065438,2019,1087113.0,873459.0,592.0,1964188,108152.0,89499.0,0.0,1961278,823483,134070
338,South Hills Interfaith Ministries,251213332,2021,4259417.0,0.0,5045.0,4325668,97826.0,81471.0,0.0,2287856,4859665,196020
339,South Hills Interfaith Ministries,251213332,2020,4333890.0,0.0,0.0,4450831,83502.0,90295.0,0.0,2785735,3022050,396217
340,South Hills Interfaith Ministries,251213332,2019,2430960.0,0.0,418.0,2539660,79050.0,82160.0,0.0,2414838,1093939,133202
341,Prevention Point Pittsburgh,251852314,2021,452318.0,446569.0,289.0,900730,65975.0,38816.0,0.0,1106528,1069038,5480
342,Prevention Point Pittsburgh,251852314,2020,528300.0,458347.0,4297.0,1004053,62089.0,24305.0,0.0,687074,1269356,0
343,Prevention Point Pittsburgh,251852314,2019,438155.0,367474.0,1294.0,811867,54790.0,22679.0,0.0,541990,965372,12995
344,Gaudenzia Inc.,231706895,2021,32530064.0,59802468.0,13.0,93926293,1603922.0,3058873.0,0.0,88490249,38360136,17432424
345,Gaudenzia Inc.,231706895,2020,25900567.0,69545000.0,187.0,95729483,1145156.0,3310896.0,0.0,97729296,25506434,10014766
346,Gaudenzia Inc.,231706895,2019,24872130.0,68504321.0,4.0,93790111,1290906.0,2745775.0,0.0,88531432,25958697,8467216
347,Keystone Adolescent Center,251710410,2021,1487119.0,4789112.0,7410.0,6287641,194842.0,259096.0,0.0,5207935,2447736,737182
348,Keystone Adolescent Center,251710410,2020,77143.0,4580170.0,5051.0,4670855,190421.0,266742.0,0.0,5290915,2156261,1525413
349,Keystone Adolescent Center,251710410,2019,99433.0,5141241.0,3719.0,5244029,187928.0,243241.0,0.0,5188340,1498993,248085
350,Diakon Child Family & Community Ministries,465390969,2021,5108878.0,22838016.0,58842.0,28006448,0.0,0.0,0.0,23875557,23881449,9315676
351,Diakon Child Family & Community Ministries,465390969,2020,2587956.0,21213124.0,34749.0,23840861,0.0,0.0,0.0,23211076,19422778,9155916
352,Diakon Child Family & Community Ministries,465390969,2019,2346135.0,22566464.0,28601.0,24963863,0.0,0.0,0.0,23960935,17675566,8330941
353,Central Outreach Resource And Referral Center,141905430,2021,302379.0,0.0,0.0,302379,120074.0,17398.0,0.0,347945,13905,5000
354,Central Outreach Resource And Referral Center,141905430,2020,383438.0,0.0,0.0,383438,112296.0,20071.0,0.0,322407,86451,17669
355,Central Outreach Resource And Referral Center,141905430,2019,204487.0,162556.0,0.0,367043,83273.0,16138.0,0.0,270842,67235,48627
356,Pa Connecting Communities,201118762,2020,146150.0,5361619.0,5764.0,5513533,0.0,278135.0,0.0,5073496,3014860,1345611
357,Pa Connecting Communities,201118762,2019,119234.0,4643049.0,4808.0,4767091,0.0,285255.0,0.0,4965286,1611627,382415
358,Melting Pot Ministries,141942636,2021,622075.0,0.0,0.0,622075,0.0,23218.0,0.0,457633,214138,65260
359,Melting Pot Ministries,141942636,2020,348387.0,0.0,0.0,359046,0.0,17846.0,0.0,353530,118586,134150
360,Melting Pot Ministries,141942636,2019,385966.0,240.0,0.0,386777,0.0,21823.0,0.0,408776,49802,70882
361,Mount Ararat Community Activity Center,251628168,2021,1118902.0,1446310.0,54.0,2702758,0.0,79974.0,0.0,1693974,1823888,118955
362,Mount Ararat Community Activity Center,251628168,2020,293964.0,1520968.0,2.0,1911022,0.0,65241.0,0.0,1444073,1007861,311712
363,Mount Ararat Community Activity Center,251628168,2019,825644.0,1347140.0,3.0,2296309,0.0,88643.0,0.0,1966936,876235,399535
364,Homeless Children's Education Fund,251820564,2021,1247691.0,0.0,29994.0,1390205,145874.0,40694.0,0.0,961101,3208140,30652
365,Homeless Children's Education Fund,251820564,2020,1073122.0,0.0,22997.0,1200171,107549.0,35041.0,0.0,799938,2654299,16491
366,Homeless Children's Education Fund,251820564,2019,656237.0,0.0,32465.0,785614,86920.0,34207.0,0.0,837352,2222935,58356
367,Alternative Living Solutions,611489236,2021,0.0,1686807.0,1060.0,1688351,0.0,69778.0,0.0,1611418,1672655,65115
368,Alternative Living Solutions,611489236,2020,199000.0,1631760.0,747.0,1872022,0.0,67611.0,0.0,1658031,1614788,79565
369,Alternative Living Solutions,611489236,2019,0.0,1732152.0,0.0,1735844,0.0,65459.0,0.0,1521670,1415361,94129
370,Project Destiny Inc.,260091366,2021,754284.0,927529.0,-4662.0,1945475,72554.0,111381.0,0.0,2098347,2368372,69583
371,Project Destiny Inc.,260091366,2020,1677491.0,896330.0,0.0,2573821,0.0,104390.0,0.0,1906616,2704574,252912
372,Project Destiny Inc.,260091366,2019,333832.0,996090.0,0.0,1329922,0.0,80179.0,0.0,1671948,1861426,76969
373,Children And Adults Developmental Agency Programs,251721336,2021,71888.0,154930.0,0.0,227712,46762.0,6276.0,0.0,159585,504057,123288
374,Children And Adults Developmental Agency Programs,251721336,2020,123980.0,3057.0,0.0,127037,45543.0,8194.0,0.0,154531,471739,129777
375,Children And Adults Developmental Agency Programs,251721336,2019,236777.0,6682.0,0.0,243459,45526.0,6011.0,0.0,143697,419559,49792
376,Ozanam Inc.,743162792,2021,413381.0,4460.0,0.0,419233,45751.0,3682.0,0.0,379298,112496,0
377,Ozanam Inc.,743162792,2020,84456.0,149739.0,0.0,236291,0.0,7093.0,0.0,266711,72561,0
378,Ozanam Inc.,743162792,2019,107000.0,201043.0,0.0,308043,45900.0,0.0,0.0,277198,102981,0
379,Manchester Craftsmen's Guild,237113478,2021,3638004.0,381788.0,115683.0,4460670,0.0,61051.0,0.0,2385169,15522345,2042956
380,Manchester Craftsmen's Guild,237113478,2020,2811438.0,1248811.0,224410.0,4392094,0.0,11291.0,0.0,3417375,13899857,3750855
381,Manchester Craftsmen's Guild,237113478,2019,1746270.0,1387461.0,222683.0,3511816,0.0,71792.0,0.0,3420175,13560875,4267118
382,Onala Recovery Center Inc.,251308286,2021,383990.0,31419.0,0.0,456033,0.0,19646.0,0.0,442596,2181223,204026
383,Onala Recovery Center Inc.,251308286,2020,624177.0,22494.0,1.0,675289,42856.0,7135.0,0.0,278672,2161758,197998
384,Onala Recovery Center Inc.,251308286,2019,984455.0,32613.0,10.0,1073531,40200.0,12596.0,0.0,291053,1659144,92001
385,Community Care Connections,251211863,2021,1328791.0,5515067.0,9507.0,6885576,144167.0,287394.0,0.0,5560083,5711771,796170
386,Community Care Connections,251211863,2020,598690.0,5742371.0,6578.0,6376782,311707.0,296508.0,0.0,5784497,5507054,1916946
387,Community Care Connections,251211863,2019,595341.0,5311959.0,2438.0,5949882,167221.0,246416.0,0.0,4889642,3825311,827488
388,Education Law Center - Pa,232581102,2021,3276730.0,216650.0,41754.0,3536434,170177.0,94685.0,88191.0,2241392,7514729,544032
389,Education Law Center - Pa,232581102,2020,1452191.0,49400.0,16925.0,1517896,167794.0,93201.0,108540.0,2199825,6076468,484062
390,Education Law Center - Pa,232581102,2019,2251296.0,37340.0,101623.0,2390259,129372.0,89767.0,91200.0,2027661,6362604,176376
391,Allegheny Family Network,202080261,2021,3857059.0,0.0,137.0,3882484,141375.0,156883.0,0.0,3789122,969231,525422
392,Allegheny Family Network,202080261,2020,3597624.0,0.0,133.0,3608293,125815.0,164984.0,0.0,3525203,1194569,844122
393,Allegheny Family Network,202080261,2019,3168101.0,0.0,100.0,3184595,118895.0,139183.0,0.0,3253683,848637,581280
394,Center Of Life,10617023,2021,4113288.0,550576.0,448.0,4666316,148343.0,185102.0,0.0,2617312,3325408,69350
395,Center Of Life,10617023,2020,1831382.0,361068.0,437.0,2195057,137760.0,126923.0,0.0,1857088,1281254,74200
396,Center Of Life,10617023,2019,960794.0,229958.0,624.0,1192889,125600.0,96610.0,0.0,1562037,953127,84042
397,Heritage Community Initiatives,251442838,2021,3776647.0,127577.0,28492.0,4097397,219140.0,148557.0,0.0,3860710,3591779,472655
398,Heritage Community Initiatives,251442838,2020,3420162.0,204452.0,39814.0,3982975,102867.0,119938.0,0.0,3555859,3695097,1069782
399,Heritage Community Initiatives,251442838,2019,2903576.0,287859.0,42546.0,3467785,103090.0,128806.0,0.0,3426672,3124383,946054
400,Brothers And Sisters Emerging,262729390,2021,586720.0,10485.0,0.0,601526,194637.0,26871.0,0.0,515907,207447,31043
401,Brothers And Sisters Emerging,262729390,2020,387609.0,26358.0,0.0,419426,146038.0,17427.0,0.0,362982,126404,35619
402,Brothers And Sisters Emerging,262729390,2019,297689.0,28068.0,0.0,336497,126329.0,15948.0,0.0,339993,73581,39240
403,Trying Together,256089906,2021,2539205.0,10059329.0,0.0,12658576,157765.0,254054.0,0.0,11863987,3628781,260618
404,Trying Together,256089906,2020,2268090.0,2816830.0,0.0,5115286,144998.0,215102.0,0.0,4489654,2751055,177481
405,Trying Together,256089906,2019,1909400.0,876384.0,0.0,2801050,141933.0,115363.0,0.0,2533688,2012131,64189
406,Wireless Neighborhoods,200557748,2021,1612122.0,5369.0,1126.0,1618617,0.0,0.0,0.0,1471933,1254850,107805
407,Wireless Neighborhoods,200557748,2020,1663270.0,3529.0,13042.0,1679841,0.0,0.0,0.0,1688604,1110530,110169
408,Wireless Neighborhoods,200557748,2019,1679511.0,2474.0,7302.0,1689287,0.0,0.0,0.0,1681523,1113038,103914
409,Taylor Diversion Programs,455413509,2021,325705.0,2262527.0,0.0,2588232,0.0,141517.0,0.0,2535071,803429,339328
410,Taylor Diversion Programs,455413509,2020,325700.0,2340131.0,0.0,2665831,0.0,20175.0,0.0,2290816,752045,431875
411,Taylor Diversion Programs,455413509,2019,340302.0,1388188.0,0.0,1728490,110000.0,158089.0,0.0,2009180,1113134,775076
412,Mon Valley Initiative,251591350,2021,2834744.0,3176218.0,78790.0,6776914,286601.0,101025.0,0.0,5935490,13834509,2838580
413,Mon Valley Initiative,251591350,2020,3254508.0,2105534.0,57441.0,6065542,187520.0,103387.0,0.0,3222954,12722267,2484874
